#  name, allowedP, trueP, n, [sentinel], time
hpce.he915.fast_fourier_transform_combined, 8, 8, 16, 4.82654, 0.000134437
hpce.he915.fast_fourier_transform_combined, 8, 8, 19, 2.10723, 5.7985e-05
hpce.he915.fast_fourier_transform_combined, 8, 8, 22, 2.14402, 5.7209e-05
hpce.he915.fast_fourier_transform_combined, 8, 8, 26, 2.32263, 6.4145e-05
hpce.he915.fast_fourier_transform_combined, 8, 8, 32, 2.54904, 7.5655e-05
hpce.he915.fast_fourier_transform_combined, 8, 8, 38, 2.72471, 0.000180468
hpce.he915.fast_fourier_transform_combined, 8, 8, 45, 6.48658, 8.7844e-05
hpce.he915.fast_fourier_transform_combined, 8, 8, 53, 3.56945, 0.000107291
hpce.he915.fast_fourier_transform_combined, 8, 8, 64, 2.23269, 9.8238e-05
hpce.he915.fast_fourier_transform_combined, 8, 8, 76, 2.48611, 0.000139787
hpce.he915.fast_fourier_transform_combined, 8, 8, 90, 4.91873, 0.000134747
hpce.he915.fast_fourier_transform_combined, 8, 8, 107, 1.10036, 0.000154578
hpce.he915.fast_fourier_transform_combined, 8, 8, 128, 2.29399, 0.000165101
hpce.he915.fast_fourier_transform_combined, 8, 8, 152, 7.13128, 0.00026418
hpce.he915.fast_fourier_transform_combined, 8, 8, 181, 1.56635, 0.000257944
hpce.he915.fast_fourier_transform_combined, 8, 8, 215, 7.90047, 0.000315578
hpce.he915.fast_fourier_transform_combined, 8, 8, 256, 7.16267, 0.000320723
hpce.he915.fast_fourier_transform_combined, 8, 8, 304, 5.97013, 0.000591182
hpce.he915.fast_fourier_transform_combined, 8, 8, 362, 12.903, 0.000530771
hpce.he915.fast_fourier_transform_combined, 8, 8, 430, 7.81317, 0.000590204
hpce.he915.fast_fourier_transform_combined, 8, 8, 512, 13.4763, 0.000737538
hpce.he915.fast_fourier_transform_combined, 8, 8, 608, 26.6277, 0.00111901
hpce.he915.fast_fourier_transform_combined, 8, 8, 724, 18.0564, 0.00106272
